Anova_pp,Anova_var_I1,Anova_var_I2,Anova_var_I3,Anova_var_D,dataset
177,2,2,0,126,datasetANOVA
178,2,2,0,126,datasetANOVA
179,2,2,0,125,datasetANOVA
180,2,2,0,127,datasetANOVA
181,2,2,1,128,datasetANOVA
182,2,2,1,128,datasetANOVA
183,2,2,1,130,datasetANOVA
184,2,2,1,127,datasetANOVA
185,2,2,1,129,datasetANOVA
186,2,2,1,130,datasetANOVA
187,2,2,1,130,datasetANOVA
188,2,2,1,131,datasetANOVA
189,2,2,1,127,datasetANOVA
190,2,2,1,130,datasetANOVA
191,2,2,1,128,datasetANOVA
192,2,2,1,128,datasetANOVA
193,2,2,1,130,datasetANOVA
194,2,2,1,127,datasetANOVA
195,2,2,1,129,datasetANOVA
196,2,2,1,130,datasetANOVA
197,2,2,1,130,datasetANOVA
198,2,2,1,131,datasetANOVA
199,2,2,1,127,datasetANOVA
200,2,2,1,130,datasetANOVA
